Обнаружены следующие ошибки:
Объект - Строка - 18; наименование - Наггетсы Foodgital 0,25кг ТМ Горячая штучка  ПОКОМ в количестве 28 НЕ НАЙДЕН.
Объект - Строка - 60; наименование - Чебупели Foodgital 0,25кг ТМ Горячая штучка  ПОКОМ в количестве 14 НЕ НАЙДЕН.
нет в бланке

##################################################

Перенос данных из Строка - 4; наименование - Готовые бельмеши сочные с мясом ТМ Горячая штучка 0,3кг зам  ПОКОМ ==> 
	Строка - 84; наименование - Снеки «Бельмеши сочные с мясом» Фикс.вес 0,3 Пакет ТМ «Горячая штучка», в количестве 14
Перенос данных из Строка - 5; наименование - Готовые чебупели острые с мясом Горячая штучка 0,3 кг зам  ПОКОМ ==> 
	Строка - 95; наименование - Снеки «Чебупели острые» Фикс.вес 0,3 Пакет ТМ «Горячая штучка», в количестве 28
Перенос данных из Строка - 6; наименование - Готовые чебупели с ветчиной и сыром Горячая штучка 0,3кг зам  ПОКОМ ==> 
	Строка - 96; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Чебупели/Снеки/P004584/","Снеки «Чебупели с ветчиной и сыром» Фикс.вес 0,3 Пакет ТМ «Горячая штучка»"), в количестве 126
Перенос данных из Строка - 7; наименование - Готовые чебупели сочные с мясом ТМ Горячая штучка  0,3кг зам  ПОКОМ ==> 
	Строка - 98; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Чебупели/Снеки/P004605/","Снеки «Чебупели сочные с мясом» Фикс.вес 0,3 Пакет ТМ «Горячая штучка»"), в количестве 126
Перенос данных из Строка - 8; наименование - Готовые чебуреки с мясом ТМ Горячая штучка 0,09 кг флоу-пак ПОКОМ ==> 
	Строка - 105; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Чебуреки ГШ/Чебуреки/P004138/","Чебуреки с мясом Базовый ассортимент Штучка 0,09 Пленка Горячая штучка"), в количестве 14
Перенос данных из Строка - 9; наименование - ЖАР-ладушки с клубникой и вишней ТМ Стародворье 0,2 кг ПОКОМ ==> 
	Строка - 198; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Стародворье/Стародворье ПГП/Снеки/P004822/","Снеки «ЖАР-ладушки с клубникой и вишней» Фикс.вес 0,2 ТМ «Стародворье»"), в количестве 14
Перенос данных из Строка - 10; наименование - ЖАР-ладушки с мясом 0,2кг ТМ Стародворье  ПОКОМ ==> 
	Строка - 199; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Стародворье/Стародворье ПГП/Снеки/P004811/","Снеки «ЖАР-ладушки с мясом» Фикс.вес 0,2 ТМ «Стародворье»"), в количестве 42
Перенос данных из Строка - 11; наименование - ЖАР-ладушки с яблоком и грушей ТМ Стародворье 0,2 кг. ПОКОМ ==> 
	Строка - 200; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Стародворье/Стародворье ПГП/Снеки/P004812/","Снеки «ЖАР-ладушки с яблоком и грушей» Фикс.вес 0,2 ТМ «Стародворье»"), в количестве 14
Перенос данных из Строка - 13; наименование - Круггетсы сочные ТМ Горячая штучка ТС Круггетсы 0,25 кг зам  ПОКОМ ==> 
	Строка - 140; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Круггетсы/Снеки/P004097/","Снеки «Круггетсы Сочные» Фикс.вес 0,25 ф/п ТМ «Горячая штучка»"), в количестве 154
Перенос данных из Строка - 15; наименование - Мини-сосиски в тесте 3,7кг ВЕС заморож. ТМ Зареченские  ПОКОМ ==> 
	Строка - 299; наименование - Снеки «Мини-сосиски в тесте» Весовые ТМ «Зареченские» 3,7 кг, в количестве 14
Перенос данных из Строка - 19; наименование - Наггетсы из печи 0,25кг ТМ Вязанка ТС Няняггетсы Сливушки замор.  ПОКОМ ==> 
	Строка - 187; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Вязанка/Сливушка/Наггетсы/P004497/","Наггетсы «из печи» Фикс.вес 0,25 ТМ «Вязанка»"), в количестве 98
Перенос данных из Строка - 20; наименование - Наггетсы Нагетосы Сочная курочка ТМ Горячая штучка 0,25 кг зам  ПОКОМ ==> 
	Строка - 29; наименование - Наггетсы «Нагетосы Сочная курочка» Фикс.вес 0,25 ТМ «Горячая штучка», в количестве 154
Перенос данных из Строка - 21; наименование - Наггетсы с индейкой 0,25кг ТМ Вязанка ТС Няняггетсы Сливушки НД2 замор.  ПОКОМ ==> 
	Строка - 186; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Вязанка/Сливушка/Наггетсы/P004496/","Наггетсы «с индейкой» Фикс.вес 0,25 ТМ «Вязанка»"), в количестве 70
Перенос данных из Строка - 22; наименование - Наггетсы с куриным филе и сыром ТМ Вязанка 0,25 кг ПОКОМ ==> 
	Строка - 188; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Вязанка/Сливушка/Наггетсы/P004535/","Наггетсы «с куриным филе и сыром» Фикс.вес 0,25 ТМ «Вязанка»"), в количестве 84
Перенос данных из Строка - 25; наименование - Пекерсы с индейкой в сливочном соусе ТМ Горячая штучка 0,25 кг зам  ПОКОМ ==> 
	Строка - 145; наименование - Снеки «Пекерсы с индейкой в сливочном соусе» Фикс.вес 0,25 Пакет ТМ «Горячая штучка», в количестве 56
Перенос данных из Строка - 27; наименование - Пельмени Бигбули #МЕГАВКУСИЩЕ с сочной грудинкой ТМ Горячая штучка 0,4 кг. ПОКОМ ==> 
	Строка - 43; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бигбули ГШ/Пельмени/P004202/","Пельмени «Бигбули #МЕГАВКУСИЩЕ с сочной грудинкой» 0,4 сфера ТМ «Горячая штучка»"), в количестве 24
Перенос данных из Строка - 28; наименование - Пельмени Бигбули #МЕГАВКУСИЩЕ с сочной грудинкой ТМ Горячая штучка 0,7 кг. ПОКОМ ==> 
	Строка - 45; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бигбули ГШ/Пельмени/P004440/","Пельмени «Бигбули #МЕГАВКУСИЩЕ с сочной грудинкой» 0,7 сфера ТМ «Горячая штучка»"), в количестве 12
Перенос данных из Строка - 29; наименование - Пельмени Бигбули с мясом ТМ Горячая штучка. флоу-пак сфера 0,4 кг. ПОКОМ ==> 
	Строка - 48; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бигбули ГШ/Пельмени/P004443/","Пельмени «Бигбули с мясом» 0,4 Сфера ТМ «Горячая штучка»"), в количестве 24
Перенос данных из Строка - 30; наименование - Пельмени Бигбули с мясом ТМ Горячая штучка. флоу-пак сфера 0,7 кг ПОКОМ ==> 
	Строка - 50; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бигбули ГШ/Пельмени/P004442/","Пельмени «Бигбули с мясом» 0,7 Сфера ТМ «Горячая штучка»"), в количестве 72
Перенос данных из Строка - 32; наименование - Пельмени Бигбули со сливочным маслом ТМ Горячая штучка, флоу-пак сфера 0,4. ПОКОМ ==> 
	Строка - 46; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бигбули ГШ/Пельмени/P004441/","Пельмени «Бигбули #МЕГАМАСЛИЩЕ со сливочным маслом» 0,4 сфера ТМ «Горячая штучка»"), в количестве 24
Перенос данных из Строка - 33; наименование - Пельмени Бигбули со сливочным маслом ТМ Горячая штучка, флоу-пак сфера 0,7. ПОКОМ ==> 
	Строка - 47; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бигбули ГШ/Пельмени/P004203/","Пельмени «Бигбули #МЕГАМАСЛИЩЕ со сливочным маслом» 0,7 сфера ТМ «Горячая штучка»"), в количестве 120
Перенос данных из Строка - 34; наименование - Пельмени Бульмени по-сибирски с говядиной и свининой ТМ Горячая штучка 0,8 кг ПОКОМ ==> 
	Строка - 118; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бульмени ГШ/Пельмени/P003603/","Пельмени «Бульмени по-сибирски с говядиной и свининой» 0,8 сфера ТМ «Горячая штучка»"), в количестве 36
Перенос данных из Строка - 35; наименование - Пельмени Бульмени с говядиной и свининой Наваристые 2,7кг Горячая штучка ВЕС  ПОКОМ ==> 
	Строка - 78; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бульмени вес ГШ/Пельмени/P003687/","Пельмени «Бульмени с говядиной и свининой Наваристые» Весовые Сфера ТМ «Горячая штучка» 2,7 кг"), в количестве 18
Перенос данных из Строка - 36; наименование - Пельмени Бульмени с говядиной и свининой Наваристые 5кг Горячая штучка ВЕС  ПОКОМ ==> 
	Строка - 79; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бульмени вес ГШ/Пельмени/P003697/","Пельмени «Бульмени с говядиной и свининой Наваристые» Весовые Сфера ТМ «Горячая штучка» 5 кг"), в количестве 48
Перенос данных из Строка - 37; наименование - Пельмени Бульмени с говядиной и свининой ТМ Горячая штучка. флоу-пак сфера 0,4 кг ПОКОМ ==> 
	Строка - 113; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бульмени ГШ/Пельмени/P004474/","Пельмени «Бульмени с говядиной и свининой» 0,4 Сфера ТМ «Горячая штучка»"), в количестве 24
