Обнаружены следующие ошибки:
Филедворская по-Стародворски в/у натурин вес 900гр (Стародвор) 30 суток, кг в количестве 120кг НЕ НАЙДЕН.
Химич - не заказывать

##################################################

Перенос данных из Строка - 1; наименование - Ветчина Особая Нежная 2,5кг п/а (Особый Рецепт) 60 суток, кг ==> 
	Строка - 381; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Особый рецепт/Особая/Ветчины/P002555/","Ветчины Нежная Особая Особая Весовые П/а Особый рецепт большой батон"), в количестве 300
Перенос данных из Строка - 2; наименование - Ветчина Столичная  Вязанка 1,3кг (Стародвор) 45 суток, кг филейская ==> 
	Строка - 77; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/Столичная/Ветчины/P003234/","Ветчины «Филейская» Весовые Вектор ТМ «Вязанка»"), в количестве 150
Перенос данных из Строка - 3; наименование - Ветчина Столичная  Вязанка 450гр (Стародвор) 45 суток, шт филейская ==> 
	Строка - 78; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/Столичная/Ветчины/P003226/","Ветчины «Филейская» Фикс.вес 0,45 Вектор ТМ «Вязанка»"), в количестве 45
Перенос данных из Строка - 4; наименование - Филейная Оригин без свин 400гр (Особый рецепт) 60 суток, шт ==> 
	Строка - 401; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Особый рецепт/Особая/Вареные колбасы/P004258/","Вареные колбасы «Филейная Оригинальная» ф/в 0,4 п/а ТМ «Особый рецепт»"), в количестве 120
Перенос данных из Строка - 5; наименование - Филейная Оригин без свин большой батон 1,8кг (Особый рецепт) 60 суток, кг ==> 
	Строка - 399; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Особый рецепт/Особая/Вареные колбасы/P004259/","Вареные колбасы «Филейная Оригинальная» Весовой п/а ТМ «Особый рецепт» большой батон"), в количестве 180
Перенос данных из Строка - 6; наименование - Филейная Оригин без свин вес 800гр (Стародвор) 60 суток, кг ==> 
	Строка - 400; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Особый рецепт/Особая/Вареные колбасы/P004273/","Вареные колбасы «Филейная Оригинальная» Весовой п/а ТМ «Особый рецепт»"), в количестве 450
Перенос данных из Строка - 7; наименование - Докторская  ГОСТ Дугушка вес 800гр (Стародвор) 55 суток, кг ==> 
	Строка - 493; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Дугушка/Дугушка/Вареные колбасы/P004028/","Вареные колбасы Докторская ГОСТ Дугушка Весовые Вектор Дугушка"), в количестве 30
Перенос данных из Строка - 8; наименование - Стародворская Дугушка ТУ  800гр (Стародвор) 55 суток, кг ==> 
	Строка - 498; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Дугушка/Дугушка/Вареные колбасы/P002989/","Вареные колбасы «Дугушка Стародворская» Вес п/а ТМ «Дугушка»"), в количестве 50
Перенос данных из Строка - 10; наименование - Колбаса Балыкбургская Баварушка в/к 700гр (Стародвор) 45 суток, кг ==> 
	Строка - 467; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Баварушка/Балыкбургская/Копченые колбасы/P004327/","Копченые колбасы «Балыкбургская с копченым балыком» вес айцел ТМ «Баварушка»"), в количестве 30
Перенос данных из Строка - 11; наименование - Колбаса Вареная Классическая Вязанка высш.сорт 450гр (Стародвор) 45 суток, шт Филейская ==> 
	Строка - 73; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/Классическая/Вареные колбасы/P003227/","Вареные колбасы «Филейская» Фикс.вес 0,45 Вектор ТМ «Вязанка»"), в количестве 90
Перенос данных из Строка - 12; наименование - Колбаса Вареная Классическая Вязанка высш.сорт кг  (Стародвор) 45 суток, кг 1,3 Филейская ==> 
	Строка - 69; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/Классическая/Вареные колбасы/P003235/","Вареные колбасы «Филейская» Весовые Вектор ТМ «Вязанка»"), в количестве 300
Перенос данных из Строка - 13; наименование - Колбаса Вязанка Докторская ГОСТ 1,3кг (Стародвор) 50 суток, кг ==> 
	Строка - 53; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/Вязанка/Вареные колбасы/P003011/","Вареные колбасы Докторская ГОСТ Вязанка Весовые Вектор Вязанка"), в количестве 250
Перенос данных из Строка - 14; наименование - Колбаса Вязанка Докторская ГОСТ 400гр (Стародвор) 50 суток, шт ==> 
	Строка - 56; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/Вязанка/Вареные колбасы/P003008/","Вареные колбасы Докторская ГОСТ Вязанка Фикс.вес 0,4 Вектор Вязанка"), в количестве 60
Перенос данных из Строка - 15; наименование - Молочная Дугушка  800гр (Стародвор) 55 суток, кг ==> 
	Строка - 496; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Дугушка/Дугушка/Вареные колбасы/P004030/","Вареные колбасы «Молочная Дугушка» Весовые Вектор ТМ «Дугушка»"), в количестве 10
Перенос данных из Строка - 16; наименование - Колбаса Филейная Особая 2 сорт 2,5кг (Славница 60 суток), кг ==> 
	Строка - 373; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Особый рецепт/Особая/Вареные колбасы/P004252/","Вареные колбасы «Филейная» Весовой п/а ТМ «Особый рецепт» большой батон"), в количестве 650
Перенос данных из Строка - 17; наименование - Колбаса Молочная  Вязанка 1 сорт 1,3кг (Стародвор) 45 суток, кг (Молокуша) ==> 
	Строка - 103; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/Вязанка/Вареные колбасы/P003239/","Вареные колбасы Молокуша Вязанка Вес п/а Вязанка"), в количестве 120
Перенос данных из Строка - 18; наименование - Колбаса Молочная  Вязанка 1 сорт 450гр (Стародвор) 45 суток, шт (Молокуша) ==> 
	Строка - 105; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/Молокуша/Вареные колбасы/P004530/","Вареные колбасы «Молокуша» Фикс.вес 0,45 п/а ТМ «Вязанка»"), в количестве 50
Перенос данных из Строка - 19; наименование - Колбаса Молочная  Особая п/а вес (Стародвор) 60 суток, 2,5 кг ==> 
	Строка - 370; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Особый рецепт/Особая/Вареные колбасы/P004256/","Вареные колбасы «Молочная» Весовой п/а ТМ «Особый рецепт» большой батон"), в количестве 100
Перенос данных из Строка - 20; наименование - Колбаса Ообая со шпиком 2сорт 2,5кг (Стародворье) 60 суток, кг ==> 
	Строка - 372; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Особый рецепт/Особая/Вареные колбасы/P004257/","Вареные колбасы «Со шпиком» Весовой п/а ТМ «Особый рецепт» большой батон"), в количестве 200
Перенос данных из Строка - 22; наименование - Сервелат Дугушка Запеченый  в/к вес (Стародворье) 55 суток, кг ==> 
	Строка - 512; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Дугушка/Дугушка/Копченые колбасы/P003634/","В/к колбасы «Сервелат Запеченный» Весовые Вектор ТМ «Дугушка»"), в количестве 30
Перенос данных из Строка - 23; наименование - Сервелат Филедворский срез в/у 350гр (Стародворье) 40 суток, шт ==> 
	Строка - 305; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Стародворье/Филедворская/Копченые колбасы/P004229/","В/к колбасы Сервелат Филедворский срез Бордо Фикс.вес 0,35 фиброуз в/у стародворье"), в количестве 17.5
Перенос данных из Строка - 24; наименование - Сосиски  Вязанка Сливочные в оболочке МГС вес (Стародвор) 30 суток, кг ==> 
	Строка - 134; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/Сливушки/Сосиски/P003905/","Сосиски «Вязанка Сливочные» Весовые П/а мгс ТМ «Вязанка»"), в количестве 130
Перенос данных из Строка - 25; наименование - Сосиски Баварские с сыром мгс ф/в 350гр (Стародворье) 35 суток, шт ==> 
