Обнаружены следующие ошибки:
Объект - Строка - 208; наименование - Сосиски Сочинки с сыром Бордо ф/в 0,4 кг п/а Стародворье в количестве 100 НЕ НАЙДЕН.

##################################################

Перенос данных из Строка - 19; наименование - Вареные колбасы Докторская ГОСТ Вязанка Весовые Вектор Вязанка ==> 
	Строка - 37; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/ГОСТ/Вареные колбасы/P003011/","Вареные колбасы Докторская ГОСТ Вязанка Весовые Вектор Вязанка"), в количестве 600
Перенос данных из Строка - 21; наименование - Вареные колбасы Докторская ГОСТ Вязанка Фикс.вес 0,4 Вектор Вязанка ==> 
	Строка - 38; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/ГОСТ/Вареные колбасы/P003008/","Вареные колбасы Докторская ГОСТ Вязанка Фикс.вес 0,4 Вектор Вязанка"), в количестве 50
Перенос данных из Строка - 34; наименование - Вареные колбасы «Филейская» Весовые Вектор ТМ «Вязанка» ==> 
	Строка - 50; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/Филейская/Вареные колбасы/P003235/","Вареные колбасы «Филейская» Весовые Вектор ТМ «Вязанка»"), в количестве 250
Перенос данных из Строка - 74; наименование - Вареные колбасы Молокуша Вязанка Вес п/а Вязанка ==> 
	Строка - 87; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/Молокуша/Вареные колбасы/P003239/","Вареные колбасы Молокуша Вязанка Вес п/а Вязанка"), в количестве 250
Перенос данных из Строка - 81; наименование - Сосиски «Молокуши (Вязанка Молочные)» Весовые П/а мгс УВВ ТМ «Вязанка» ==> 
	Строка - 94; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/Молокуша/Сосиски/P003691/","Сосиски «Молокуши (Вязанка Молочные)» Весовые П/а мгс УВВ ТМ «Вязанка»"), в количестве 300
Перенос данных из Строка - 87; наименование - Сосиски Молокуши Миникушай Вязанка фикс.вес 0,33 п/а Вязанка ==> 
	Строка - 99; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/Молокуша/Сосиски/P003324/","Сосиски Молокуши Миникушай Вязанка фикс.вес 0,33 п/а Вязанка"), в количестве 150
Перенос данных из Строка - 94; наименование - Вареные колбасы «Сливушка» Вес П/а ТМ «Вязанка» ==> 
	Строка - 106; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/Сливушка/Вареные колбасы/P003357/","Вареные колбасы «Сливушка» Вес П/а ТМ «Вязанка»"), в количестве 250
Перенос данных из Строка - 96; наименование - Вареные колбасы Сливушка Вязанка Фикс.вес 0,375 П/а Вязанка ==> 
	Строка - 107; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/Сливушка/Вареные колбасы/P003102/","Вареные колбасы Сливушка Вязанка Фикс.вес 0,375 П/а Вязанка"), в количестве 200
Перенос данных из Строка - 102; наименование - Ветчины «Сливушка с индейкой» вес п/а ТМ «Вязанка» ==> 
